date_obs,wavelength,exposure_time,instrument,telescope,detector,obs_type,x_scale,y_scale,obs_title,image_path
2023-01-13T12:00:09.35,171,1.999554,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_01_13T12_00_09.35Z.image_lev1.png
2023-01-14T12:00:09.35,171,1.999564,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_01_14T12_00_09.35Z.image_lev1.png
2023-02-06T12:00:09.35,171,1.99957,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_02_06T12_00_09.35Z.image_lev1.png
2023-03-04T12:00:09.35,171,1.999582,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_03_04T12_00_09.35Z.image_lev1.png
2023-03-17T12:00:09.34,171,2.000168,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_03_17T12_00_09.34Z.image_lev1.png
2023-03-26T12:00:09.35,171,1.999575,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_03_26T12_00_09.35Z.image_lev1.png
2023-04-01T12:00:09.35,171,1.999606,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_04_01T12_00_09.35Z.image_lev1.png
2023-04-05T12:00:09.35,171,1.999586,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_04_05T12_00_09.35Z.image_lev1.png
2023-05-11T12:00:09.35,171,1.99959,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_05_11T12_00_09.35Z.image_lev1.png
2023-06-13T12:00:09.35,171,1.999592,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_06_13T12_00_09.35Z.image_lev1.png
2023-06-15T12:00:09.35,171,1.999596,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_06_15T12_00_09.35Z.image_lev1.png
2023-06-24T12:00:09.35,171,1.999587,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_06_24T12_00_09.35Z.image_lev1.png
2023-06-25T12:00:09.35,171,1.999584,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_06_25T12_00_09.35Z.image_lev1.png
2023-06-26T12:00:09.35,171,1.999583,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_06_26T12_00_09.35Z.image_lev1.png
2023-07-13T12:00:09.35,171,1.999578,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_07_13T12_00_09.35Z.image_lev1.png
2023-07-13T12:00:09.35,171,1.999578,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_07_13T12_00_09.35Z.image_lev1.png
2023-07-16T12:00:09.34,171,1.99957,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_07_16T12_00_09.34Z.image_lev1.png
2023-07-20T12:00:09.34,171,2.000165,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_07_20T12_00_09.34Z.image_lev1.png
2023-07-21T12:00:09.35,171,1.999593,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_07_21T12_00_09.35Z.image_lev1.png
2023-08-29T12:00:09.34,171,1.999581,AIA_3,SDO/AIA,,,0.599489,0.599489,,extracted_images/aia.lev1.171A_2023_08_29T12_00_09.34Z.image_lev1.png
